data,ordem_geral,prioridade,ordem_subgrupo,ticker,market,entrada,stop,alvo,r_pct,tem_didi,q_rompeu,q_consolidando,elite,mom1,mom3,mom6,faixa_mom,didi_tipo,quality,consol_dias,acima_ema20
2026-09-24,1,1,1,MGLU3,B3,6.08,5.78,6.98,4.93,True,True,False,True,47.0,38.0,-29.0,forte,ABERTURA,46.4,5,True
2026-09-24,2,3,1,EZTC3,B3,13.93,13.6,14.92,2.37,False,True,False,False,25.0,5.0,1.0,fraco,,,7,True
2026-09-24,3,4,1,HUBB,EUA,463.7,435.71,,6.04,True,False,False,False,-0.0,-10.0,-8.0,fraco,ADXHOJE,66.6,,
2026-09-24,4,4,2,CSAN3,B3,3.89,3.5,,10.03,True,False,False,False,11.0,5.0,-27.0,fraco,ABERTURA,74.9,,
2026-09-24,1,1,1,STX,EUA,925.44,885.0,1046.76,4.37,True,True,False,False,9.0,-11.0,129.0,fraco,ABERTURA,54.1,15,True
2026-09-24,3,2,2,U,EUA,44.62,41.26,54.7,7.53,True,False,True,False,-6.0,60.0,136.0,forte,ADXHOJE,87.1,15,True
2026-09-24,4,2,3,HPE,EUA,63.86,60.44,74.11,5.36,True,False,True,True,19.0,28.0,162.0,medio,ABERTURA,36.8,7,True
2026-09-24,5,3,1,PANW,EUA,383.73,374.2,412.32,2.48,False,True,False,False,10.0,35.0,140.0,forte,,,15,True
2026-09-24,6,3,2,CORT,EUA,117.9,112.05,135.45,4.96,False,True,False,True,-8.0,41.0,236.0,forte,,,15,False
2026-09-24,7,4,1,ZBRA,EUA,371.02,338.67,,8.72,True,False,False,False,1.0,56.0,80.0,forte,ADXHOJE,70.3,,
2026-09-24,8,4,2,NDSN,EUA,321.42,306.03,,4.79,True,False,False,False,-3.0,11.0,20.0,medio,ADXHOJE,71.0,,
2026-09-24,9,4,3,FAST,EUA,50.99,48.06,,5.75,True,False,False,False,-1.0,12.0,16.0,medio,ADXHOJE,80.8,,
2026-09-24,10,4,4,DE,EUA,709.48,665.45,,6.21,True,False,False,False,10.0,20.0,25.0,medio,ADXHOJE,43.8,,
2026-09-24,11,4,5,GRMN,EUA,287.58,268.67,,6.58,True,False,False,False,-2.0,22.0,21.0,medio,3JUNTOS,88.0,,
2026-09-24,12,4,6,BIIB,EUA,227.53,208.93,,8.17,True,False,False,False,5.0,15.0,24.0,medio,ABERTURA,70.1,,
2026-09-24,13,4,7,AVT,EUA,101.15,90.9,,10.13,True,False,False,False,15.0,13.0,71.0,medio,ABERTURA,48.6,,
2026-09-24,14,4,8,GGG,EUA,78.37,75.68,,3.43,True,False,False,False,-3.0,6.0,-7.0,fraco,ADXHOJE,68.0,,
2026-09-24,16,4,10,AME,EUA,246.45,230.01,,6.67,True,False,False,False,3.0,5.0,16.0,fraco,ADXHOJE,70.5,,
2026-09-24,17,4,11,IR,EUA,76.22,70.94,,6.93,True,False,False,False,-5.0,-1.0,-7.0,fraco,3JUNTOS,65.4,,
2026-09-24,18,4,12,WSO,EUA,325.37,301.95,,7.2,True,False,False,False,4.0,-15.0,-14.0,fraco,ADXHOJE,60.5,,
2026-09-24,19,4,13,TXN,EUA,272.62,248.13,,8.98,True,False,False,False,3.0,-10.0,46.0,fraco,ADXHOJE,76.7,,
2026-09-24,20,4,14,ITT,EUA,211.94,192.62,,9.12,True,False,False,False,2.0,9.0,13.0,fraco,ADXHOJE,66.8,,
2026-09-24,22,4,16,AAON,EUA,82.36,74.08,,10.05,True,False,False,False,4.0,-36.0,3.0,fraco,ABERTURA,85.5,,
2026-09-24,23,4,17,CDNS,EUA,309.09,273.07,,11.65,True,False,False,False,-3.0,-18.0,6.0,fraco,ADXHOJE,38.6,,
2026-09-24,24,4,18,POWL,EUA,192.62,167.31,,13.14,True,False,False,False,-3.0,-34.0,7.0,fraco,ADXHOJE,57.1,,
2026-09-24,25,4,19,AKAM,EUA,118.44,102.5,,13.46,True,False,False,False,7.0,-1.0,4.0,fraco,ADXHOJE,64.0,,
2026-09-24,26,4,20,WDC,EUA,473.69,407.12,,14.05,True,False,False,False,9.0,-26.0,57.0,fraco,ADXHOJE,73.7,,
2026-09-24,27,4,21,ENTG,EUA,150.93,126.63,,16.1,True,False,False,False,5.0,-10.0,31.0,fraco,ADXHOJE,75.7,,
2026-09-24,28,4,22,ACMR,EUA,80.67,62.78,,22.18,True,False,False,False,2.0,-19.0,80.0,fraco,ABERTURA,57.0,,
2026-09-26,1,4,1,MSFT,EUA,516.17,487.23,602.99,5.61,True,False,False,False,4.0,39.0,42.0,forte,ABERTURA,82.2,,
