data,ticker,market,sistema,grupo,entrada,stop,parcial2r,alvo_final,r_pct,compress,cons_len,contr_vol,dist_ema,vol_qtd,var_dia_pct
2026-09-14,NTRA,EUA,INSIDEBAR,ENTRAR,341.42,316.0,392.25,417.66,7.44,0.54,3,,,716555.0,4.12
2026-09-14,VEEV,EUA,INSIDEBAR,ENTRAR,264.08,238.93,314.37,339.51,9.52,0.65,3,,,991967.0,-0.32
2026-09-14,STRK,EUA,INSIDEBAR,RADAR,77.0,71.21,88.58,94.37,7.52,0.44,3,0.92,3.72,162701.0,0.26
2026-09-14,AWK,EUA,INSIDEBAR,RADAR,139.73,136.22,146.75,150.26,2.51,0.6,3,0.88,0.68,1023913.0,0.21
2026-09-14,UNM,EUA,INSIDEBAR,RADAR,95.32,92.78,100.4,102.94,2.66,0.72,3,0.91,1.61,2080434.0,-0.7
2026-09-14,CPAY,EUA,INSIDEBAR,RADAR,415.29,403.27,439.33,451.35,2.89,0.73,3,0.9,0.94,285775.0,-0.02
2026-09-14,NTRA,EUA,INSIDEBAR,ENTRAR,341.79,316.0,393.37,419.16,7.55,0.54,3,,,1009343.0,4.23
2026-09-14,VEEV,EUA,INSIDEBAR,ENTRAR,265.67,238.93,319.15,345.89,10.07,0.65,3,,,1361401.0,0.28
2026-09-14,STRK,EUA,INSIDEBAR,RADAR,77.0,71.21,88.58,94.37,7.52,0.44,3,0.92,3.06,176048.0,-0.45
2026-09-14,AWK,EUA,INSIDEBAR,RADAR,139.73,136.22,146.75,150.26,2.51,0.6,3,0.88,0.52,1575381.0,0.03
2026-09-14,UNM,EUA,INSIDEBAR,RADAR,95.32,92.78,100.4,102.94,2.66,0.72,3,0.91,2.37,2877525.0,0.13
2026-09-14,CPAY,EUA,INSIDEBAR,RADAR,415.29,403.27,439.33,451.35,2.89,0.73,3,0.9,1.19,381613.0,0.25
2026-09-16,UNM,EUA,INSIDEBAR,ENTRAR,95.88,92.78,102.08,105.18,3.23,0.73,3,,,2774100.0,1.46
2026-09-16,BG,EUA,INSIDEBAR,RADAR,123.4,109.82,150.56,164.14,11.0,0.53,3,0.9,2.54,1507500.0,0.82
2026-09-16,MSFT,EUA,INSIDEBAR,RADAR,505.9,486.0,545.7,565.6,3.93,0.71,3,0.91,0.86,17774000.0,-0.59
2026-09-16,PGR,EUA,INSIDEBAR,RADAR,221.57,212.63,239.45,248.39,4.03,0.78,3,0.8,1.49,2017100.0,0.6
2026-09-18,CBAV3.SA,B3,INSIDEBAR,RADAR,11.24,11.12,11.48,11.6,1.07,0.5,3,0.94,0.19,1602700.0,-0.36
2026-09-18,IRBR3.SA,B3,INSIDEBAR,RADAR,61.31,59.09,65.75,67.97,3.62,0.77,3,0.87,4.44,429100.0,-0.03
2026-09-18,DE,EUA,INSIDEBAR,RADAR,687.03,617.21,826.68,896.51,10.16,0.47,3,0.8,2.73,2224812.0,-0.11
2026-09-18,BBY,EUA,INSIDEBAR,RADAR,94.53,85.87,111.85,120.51,9.16,0.53,3,0.87,4.78,5108146.0,-1.42
2026-09-18,SNOW,EUA,INSIDEBAR,RADAR,339.27,303.89,410.03,445.41,10.43,0.54,3,0.89,1.31,4309996.0,-1.83
2026-09-18,NTNX,EUA,INSIDEBAR,RADAR,70.29,65.25,80.37,85.41,7.17,0.69,3,0.93,3.84,5834348.0,-0.06
2026-09-18,A,EUA,INSIDEBAR,RADAR,156.73,141.25,187.69,203.17,9.88,0.74,3,0.84,3.94,4849772.0,0.3
2026-09-19,CPLE3.SA,B3,INSIDEBAR,RADAR,16.05,15.52,17.11,17.64,3.3,0.37,3,0.94,3.32,24477500.0,-0.06
2026-09-19,BBY,EUA,INSIDEBAR,RADAR,94.53,85.87,111.85,120.51,9.16,0.53,3,0.87,4.78,5108800.0,-1.42
2026-09-19,CMIG4.SA,B3,INSIDEBAR,RADAR,11.27,9.87,14.07,15.47,12.42,0.62,3,0.92,1.51,18813500.0,0.09
2026-09-19,ITSA4.SA,B3,INSIDEBAR,RADAR,14.17,12.1,18.31,20.39,14.63,0.62,3,0.75,2.63,33582500.0,-0.21
2026-09-19,SNOW,EUA,INSIDEBAR,RADAR,340.31,303.89,413.15,449.57,10.7,0.64,3,0.9,1.31,4313300.0,-1.83
2026-09-19,NTNX,EUA,INSIDEBAR,RADAR,70.29,65.25,80.37,85.41,7.17,0.69,3,0.93,3.84,5834400.0,0.2
2026-09-19,B3SA3.SA,B3,INSIDEBAR,RADAR,17.7,16.81,19.48,20.37,5.03,0.7,3,0.88,4.8,67879900.0,0.86
2026-09-19,A,EUA,INSIDEBAR,RADAR,156.73,141.25,187.69,203.17,9.88,0.74,3,0.84,3.94,4849800.0,0.3
2026-09-19,BBY,EUA,INSIDEBAR,RADAR,94.53,85.87,111.85,120.51,9.16,0.53,3,0.87,4.78,5108800.0,-1.42
2026-09-19,SNOW,EUA,INSIDEBAR,RADAR,340.31,303.89,413.15,449.57,10.7,0.64,3,0.9,1.31,4313300.0,-1.83
2026-09-19,NTNX,EUA,INSIDEBAR,RADAR,70.29,65.25,80.37,85.41,7.17,0.69,3,0.93,3.84,5834400.0,0.2
2026-09-19,A,EUA,INSIDEBAR,RADAR,156.73,141.25,187.69,203.17,9.88,0.74,3,0.84,3.94,4849800.0,0.3
2026-09-20,CPLE3.SA,B3,INSIDEBAR,RADAR,16.05,15.52,17.11,17.64,3.3,0.37,3,0.94,3.32,24477500.0,-0.06
2026-09-20,BBY,EUA,INSIDEBAR,RADAR,94.53,85.87,111.85,120.51,9.16,0.53,3,0.87,4.78,5108800.0,-1.42
2026-09-20,CMIG4.SA,B3,INSIDEBAR,RADAR,11.27,9.87,14.07,15.47,12.42,0.62,3,0.92,1.51,18813500.0,0.09
2026-09-20,ITSA4.SA,B3,INSIDEBAR,RADAR,14.17,12.1,18.31,20.39,14.63,0.62,3,0.75,2.63,33582500.0,-0.21
2026-09-20,SNOW,EUA,INSIDEBAR,RADAR,340.31,303.89,413.15,449.57,10.7,0.64,3,0.9,1.31,4313300.0,-1.83
2026-09-20,NTNX,EUA,INSIDEBAR,RADAR,70.29,65.25,80.37,85.41,7.17,0.69,3,0.93,3.84,5834400.0,0.2
2026-09-20,B3SA3.SA,B3,INSIDEBAR,RADAR,17.7,16.81,19.48,20.37,5.03,0.7,3,0.88,4.8,67879900.0,0.86
2026-09-20,A,EUA,INSIDEBAR,RADAR,156.73,141.25,187.69,203.17,9.88,0.74,3,0.84,3.94,4849800.0,0.3
2026-09-21,A,EUA,INSIDEBAR,ENTRAR,161.94,141.25,203.32,224.01,12.78,0.74,3,,,2645517.0,2.58
2026-09-21,HNGE,EUA,INSIDEBAR,RADAR,95.82,86.29,114.89,124.43,9.95,0.79,3,0.76,3.26,1106963.0,-0.66
2026-09-21,CPLE3.SA,B3,INSIDEBAR,ENTRAR,16.1,15.52,17.26,17.84,3.6,0.35,3,,,10848600.0,0.0
2026-09-21,ITSA4.SA,B3,INSIDEBAR,ENTRAR,14.34,12.1,18.82,21.07,15.64,0.41,3,,,25938100.0,1.34
2026-09-21,ABCB4.SA,B3,INSIDEBAR,ENTRAR,25.28,24.34,27.16,28.1,3.72,0.47,3,,,583100.0,1.73
2026-09-21,ITUB3.SA,B3,INSIDEBAR,ENTRAR,47.16,40.29,60.89,67.76,14.56,0.52,3,,,1684900.0,1.48
2026-09-21,EQTL3.SA,B3,INSIDEBAR,ENTRAR,40.2,38.32,43.96,45.84,4.68,0.55,3,,,7563400.0,1.01
2026-09-21,B3SA3.SA,B3,INSIDEBAR,ENTRAR,18.23,16.81,21.07,22.49,7.79,0.56,3,,,48904800.0,2.53
2026-09-21,BPAC11.SA,B3,INSIDEBAR,ENTRAR,63.5,49.66,91.18,105.02,21.8,0.62,3,,,13752200.0,2.92
2026-09-21,RDOR3.SA,B3,INSIDEBAR,ENTRAR,38.12,36.31,41.74,43.55,4.75,0.63,3,,,6167500.0,1.25
2026-09-21,A,EUA,INSIDEBAR,ENTRAR,161.94,141.25,203.32,224.01,12.78,0.74,3,,,2645517.0,2.58
2026-09-21,MOTV3.SA,B3,INSIDEBAR,ENTRAR,16.5,12.94,23.63,27.19,21.59,0.74,3,,,13517900.0,0.98
2026-09-21,HNGE,EUA,INSIDEBAR,RADAR,95.82,86.29,114.89,124.43,9.95,0.79,3,0.76,3.26,1106963.0,-0.66
2026-09-24,SLCE3.SA,B3,INSIDEBAR,RADAR,17.96,17.27,19.34,20.03,3.84,0.57,3,0.81,3.44,1790500.0,-1.56
2026-09-24,WEGE3.SA,B3,INSIDEBAR,RADAR,51.92,49.78,56.21,58.35,4.13,0.57,3,0.91,0.78,4818000.0,-0.47
2026-09-24,GH,EUA,INSIDEBAR,RADAR,179.35,155.78,226.49,250.06,13.14,0.61,3,0.88,4.37,1431300.0,0.06
2026-09-24,NOW,EUA,INSIDEBAR,RADAR,141.54,135.07,154.48,160.95,4.57,0.78,3,0.79,3.57,11348400.0,2.59
