ticker,entrada_data,entry,stop,alvo,saida_data,R
ABEV3.SA,2017-02-01,11.82,10.99,14.31,2017-05-03,1.02
ABEV3.SA,2017-10-13,15.24,14.37,17.84,2017-10-25,-1.0
ABEV3.SA,2017-12-26,14.85,14.29,16.55,2018-03-12,3.0
ABEV3.SA,2018-01-02,15.16,14.29,17.78,2018-03-29,1.97
ABEV3.SA,2020-07-06,10.64,9.95,12.7,2020-08-04,-1.0
ABEV3.SA,2021-04-13,11.94,11.45,13.41,2021-04-30,-1.0
ABEV3.SA,2021-04-22,12.15,11.45,14.23,2021-04-30,-1.0
ABEV3.SA,2023-06-30,12.88,11.87,15.89,2023-08-14,-1.0
ABEV3.SA,2023-12-27,12.17,11.95,12.83,2024-01-03,-1.0
ABEV3.SA,2024-08-23,11.5,10.12,15.64,2024-11-18,-0.42
ABEV3.SA,2025-04-02,12.8,12.38,14.07,2025-04-07,-1.0
ABEV3.SA,2025-11-11,12.84,11.32,17.41,2026-02-10,1.82
ABEV3.SA,2025-11-28,13.1,12.62,14.51,2025-12-10,-1.0
ABEV3.SA,2026-05-25,16.35,15.46,19.05,2026-07-15,-1.0
ABT,2017-02-23,38.09,32.93,53.57,2017-05-19,-0.32
ABT,2017-10-10,47.03,43.61,57.29,2018-01-05,0.96
ABT,2017-12-27,49.02,46.34,57.08,2018-03-26,1.24
ABT,2018-05-24,53.83,48.93,68.56,2018-08-20,0.42
ABT,2018-06-01,53.75,52.4,57.78,2018-06-25,-1.0
ABT,2019-06-28,73.69,65.67,97.77,2019-09-24,-0.15
ABT,2019-11-15,75.69,71.44,88.43,2020-02-13,0.7
ABT,2019-12-19,77.13,73.96,86.64,2020-02-25,-1.0
ABT,2020-05-07,83.7,79.0,97.81,2020-05-19,-1.0
ABT,2021-08-09,111.75,105.12,131.62,2021-10-01,-1.0
ABT,2021-08-16,113.11,105.12,137.06,2021-10-01,-1.0
ABT,2021-12-10,122.39,113.96,147.66,2022-01-20,-1.0
ABT,2022-08-15,103.15,99.14,115.18,2022-08-22,-1.0
ABT,2023-12-11,100.34,98.13,106.97,2024-01-09,3.0
ABT,2024-08-22,107.5,102.72,121.86,2024-11-15,0.87
AXP,2017-01-03,65.99,64.03,71.88,2017-03-01,3.0
AXP,2017-02-17,70.11,66.82,79.98,2017-04-17,-1.0
AXP,2018-09-19,99.05,94.06,114.03,2018-10-10,-1.0
AXP,2019-06-18,112.3,103.62,138.34,2019-09-12,-0.42
AXP,2019-07-03,114.87,111.93,123.67,2019-08-05,-1.0
AXP,2019-07-09,114.9,111.93,123.81,2019-08-05,-1.0
AXP,2019-11-07,111.11,105.82,126.97,2019-12-03,-1.0
AXP,2019-12-26,114.89,105.04,144.47,2020-02-27,-1.0
AXP,2021-01-06,114.75,106.04,140.88,2021-01-27,-1.0
AXP,2021-11-10,171.12,161.94,198.66,2021-11-22,-1.0
AXP,2022-02-15,187.24,144.56,315.28,2022-05-12,-1.0
AXP,2022-08-10,154.64,140.2,197.96,2022-09-06,-1.0
AXP,2022-11-22,147.72,142.6,163.08,2022-12-15,-1.0
AXP,2023-03-01,168.68,165.12,179.39,2023-03-09,-1.0
AXP,2024-08-23,245.97,217.32,331.92,2024-11-18,1.2
AXP,2024-10-04,270.82,257.45,310.94,2024-12-31,1.53
AXP,2025-09-11,325.83,318.01,349.31,2025-10-10,-1.0
AXP,2025-12-10,372.54,354.46,426.76,2026-01-12,-1.0
BA,2017-02-10,155.44,149.1,174.47,2017-05-09,3.0
BA,2017-02-15,158.32,149.1,185.95,2017-05-12,1.56
BA,2017-02-23,165.39,149.1,214.23,2017-05-19,0.3
BA,2018-01-03,283.8,279.24,297.5,2018-01-09,3.0
BA,2020-07-06,187.91,167.6,248.84,2020-07-29,-1.0
BA,2021-03-31,254.72,231.7,323.78,2021-04-21,-1.0
BA,2022-02-09,215.86,183.77,312.13,2022-03-04,-1.0
BA,2022-07-14,147.15,131.29,194.73,2022-09-23,-1.0
