estrategia,R
IB_1R,-1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,1.0
IB_1R,1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,2.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,2.0
IB_2R,2.0
IB_2R,2.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,3.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,3.0
IB_3R,-1.0
IB_3R,3.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,2.5
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,2.5
IB_parc2R,1.0
IB_parc2R,2.5
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,0.1339
DIDI_pivo_TRIX,1.5781
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,3.0583
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6754
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.4315
DIDI_pivo_TRIX,1.986
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,1.8667
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.0319
DIDI_pivo_TRIX,0.4952
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6194
DIDI_pivo_ADX,-0.3282
DIDI_pivo_ADX,-0.1395
DIDI_pivo_ADX,-0.898
DIDI_pivo_ADX,-0.2769
DIDI_pivo_ADX,-0.9073
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.1065
DIDI_pivo_ADX,1.2368
DIDI_pivo_ADX,1.9032
DIDI_pivo_ADX,-0.2316
DIDI_pivo_ADX,0.1
DIDI_pivo_ADX,0.0531
DIDI_pivo_ADX,2.2979
DIDI_pivo_ADX,-0.2143
DIDI_pivo_ADX,-0.468
DIDI_pivo_ADX,-0.3045
DIDI_pivo_ADX,-0.2241
DIDI_pivo_ADX,-0.2389
DIDI_pivo_ADX,0.2258
DIDI_pivo_ADX,-0.1799
DIDI_pivo_ADX,-0.4665
DIDI_pivo_ADX,-0.1544
DIDI_pivo_ADX,-0.3784
DIDI_pivo_ADX,0.0455
DIDI_pivo_ADX,-0.0751
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.1402
DIDI_pivo_ADX,-0.2271
DIDI_pivo_ADX,0.0387
DIDI_pivo_ADX,-0.5446
DIDI_pivo_ADX,-0.264
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.3526
DIDI_pivo_ADX,2.3917
DIDI_pivo_ADX,0.3612
DIDI_pivo_ADX,-0.1577
DIDI_pivo_ADX,0.122
DIDI_pivo_ADX,0.504
DIDI_pivo_ADX,0.3933
DIDI_pivo_ADX,-0.0726
DIDI_pivo_ADX,-0.2769
DIDI_pivo_ADX,-0.194
DIDI_pivo_ADX,0.3992
DIDI_pivo_ADX,-0.2738
DIDI_pivo_ADX,-0.0075
DIDI_pivo_ADX,-0.401
DIDI_pivo_ADX,0.0052
DIDI_pivo_ADX,-0.4855
DIDI_pivo_ADX,1.3011
DIDI_pivo_ADX,-0.0752
DIDI_pivo_ADX,-0.48
DIDI_pivo_ADX,-0.3065
DIDI_pivo_ADX,-0.5096
DIDI_pivo_ADX,0.1395
DIDI_pivo_ADX,1.1402
DIDI_pivo_ADX,-0.438
DIDI_pivo_ADX,-0.5181
DIDI_pivo_ADX,0.1061
DIDI_pivo_ADX,0.2344
DIDI_pivo_ADX,-0.534
DIDI_pivo_ADX,-0.0963
DIDI_pivo_ADX,-0.1533
DIDI_pivo_ADX,0.0
DIDI_pivo_ADX,0.0532
DIDI_pivo_ADX,0.859
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.0865
DIDI_pivo_ADX,0.1818
DIDI_pivo_ADX,-0.2679
DIDI_pivo_ADX,-0.2796
DIDI_pivo_ADX,-0.5893
DIDI_pivo_ADX,0.3704
DIDI_pivo_ADX,0.0103
